,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Survived
300,3,1,32,0,0,7,1,0
302,2,1,43,0,1,21,1,0
303,3,1,24,0,0,8,1,0
305,1,0,64,1,1,26,1,0
306,1,1,30,1,2,151,1,0
307,3,1,0,0,1,9,1,1
308,1,1,55,1,1,93,1,0
309,3,0,45,1,0,14,1,0
310,3,1,18,0,0,8,1,0
311,3,1,22,0,0,7,2,0
313,3,0,37,0,0,7,3,0
314,1,0,55,0,0,135,2,0
315,3,0,17,0,0,7,3,0
316,1,1,57,1,0,146,2,0
317,2,1,19,0,0,10,1,0
318,3,1,27,0,0,7,1,0
319,2,1,22,2,0,31,1,0
320,3,1,26,0,0,7,1,0
321,3,1,25,0,0,7,2,0
322,2,1,26,0,0,13,1,0
323,1,1,33,0,0,26,1,0
324,1,0,39,0,0,211,1,1
325,3,1,23,0,0,7,1,0
326,2,0,12,2,1,39,1,1
327,1,1,46,0,0,79,2,0
328,2,1,29,1,0,26,1,0
329,2,1,21,0,0,13,1,0
330,2,0,48,0,2,36,1,0
331,1,1,39,0,0,29,2,0
333,3,0,19,1,1,15,2,0
334,3,1,27,0,0,7,1,0
335,1,1,30,0,0,26,1,0
336,2,1,32,0,0,13,1,0
337,3,1,39,0,2,7,2,0
338,2,1,25,0,0,31,1,0
340,2,1,18,0,0,10,1,0
341,3,1,32,0,0,7,1,0
343,1,0,58,0,1,512,2,0
345,3,0,16,0,0,7,1,0
346,2,1,26,0,0,13,1,0
347,3,0,38,0,0,7,2,0
348,2,1,24,0,0,13,1,0
349,2,0,31,0,0,21,1,0
350,1,0,45,0,1,63,2,1
351,2,1,25,0,0,10,1,0
352,2,1,18,0,0,73,1,0
353,2,1,49,1,2,65,1,0
354,3,0,0,1,2,20,1,0
355,1,1,50,0,0,26,1,0
356,1,0,59,2,0,51,1,0
359,3,0,30,1,0,15,1,0
360,3,1,14,8,2,69,1,0
361,2,0,24,1,1,37,2,1
362,2,0,31,0,0,21,1,0
363,3,1,27,0,0,8,1,0
364,1,0,25,1,0,55,2,0
367,3,0,22,0,0,39,1,0
368,1,0,45,0,1,59,2,1
369,2,1,29,0,0,13,2,0
370,2,1,21,1,0,11,1,0
371,1,0,31,0,0,134,2,1
372,1,1,49,0,0,0,1,0
373,2,1,44,0,0,13,1,0
374,1,0,54,1,1,81,1,1
375,1,0,45,0,0,262,2,0
376,3,0,22,2,0,8,1,0
377,2,1,21,0,0,11,1,0
378,1,1,55,0,0,50,1,0
379,3,1,5,4,2,31,1,0
381,3,1,26,0,0,7,3,0
383,3,0,19,1,0,16,1,0
385,2,0,24,1,2,65,1,1
386,3,1,24,0,0,7,1,0
387,2,1,57,0,0,13,1,0
388,3,1,21,0,0,7,3,0
389,3,1,6,3,1,21,1,0
390,1,1,23,0,0,93,1,0
391,1,0,51,0,1,39,1,0
392,3,1,13,0,2,20,1,0
393,2,1,47,0,0,10,1,0
394,3,1,29,3,1,22,1,0
395,1,0,18,1,0,60,1,1
396,3,1,24,0,0,7,3,0
397,1,0,48,1,1,79,2,1
398,3,1,22,0,0,7,1,0
399,3,1,31,0,0,7,3,0
400,1,0,30,0,0,164,1,0
401,2,1,38,1,0,21,1,0
402,1,0,22,0,1,59,2,1
403,1,1,17,0,0,47,1,0
404,1,1,43,1,0,27,2,0
405,2,1,20,0,0,13,2,0
406,2,1,23,1,0,10,1,0
407,1,1,50,1,1,211,2,0
409,3,0,3,1,1,13,1,0
411,1,0,37,1,0,90,3,1
412,3,0,28,0,0,7,1,0
414,1,0,39,0,0,108,2,1
415,3,1,38,0,0,7,1,0
